update,lr
640,8.050314465408805e-06
641,8.062893081761007e-06
642,8.075471698113208e-06
643,8.08805031446541e-06
644,8.100628930817611e-06
645,8.113207547169812e-06
646,8.125786163522014e-06
647,8.138364779874215e-06
648,8.150943396226417e-06
649,8.163522012578618e-06
650,8.17610062893082e-06
651,8.18867924528302e-06
652,8.20125786163522e-06
653,8.213836477987422e-06
654,8.226415094339623e-06
655,8.238993710691825e-06
656,8.251572327044026e-06
657,8.264150943396228e-06
658,8.276729559748429e-06
659,8.28930817610063e-06
660,8.301886792452832e-06
661,8.314465408805033e-06
662,8.327044025157233e-06
663,8.339622641509434e-06
664,8.352201257861636e-06
665,8.364779874213837e-06
666,8.377358490566039e-06
667,8.38993710691824e-06
668,8.402515723270442e-06
669,8.415094339622643e-06
670,8.427672955974844e-06
671,8.440251572327046e-06
672,8.452830188679245e-06
673,8.465408805031447e-06
674,8.477987421383648e-06
675,8.49056603773585e-06
676,8.503144654088051e-06
677,8.515723270440253e-06
678,8.528301886792454e-06
679,8.540880503144655e-06
680,8.553459119496857e-06
681,8.566037735849058e-06
682,8.57861635220126e-06
683,8.59119496855346e-06
684,8.60377358490566e-06
685,8.616352201257862e-06
686,8.628930817610064e-06
687,8.641509433962265e-06
688,8.654088050314466e-06
689,8.666666666666668e-06
690,8.67924528301887e-06
691,8.69182389937107e-06
692,8.704402515723272e-06
693,8.716981132075473e-06
694,8.729559748427673e-06
695,8.742138364779875e-06
696,8.754716981132076e-06
697,8.767295597484277e-06
698,8.779874213836479e-06
699,8.79245283018868e-06
700,8.805031446540882e-06
701,8.817610062893083e-06
702,8.830188679245285e-06
703,8.842767295597486e-06
704,8.855345911949687e-06
705,8.867924528301887e-06
706,8.880503144654088e-06
707,8.89308176100629e-06
708,8.905660377358491e-06
709,8.918238993710693e-06
710,8.930817610062894e-06
711,8.943396226415096e-06
712,8.955974842767297e-06
713,8.968553459119498e-06
714,8.9811320754717e-06
715,8.9937106918239e-06
716,9.006289308176101e-06
717,9.018867924528302e-06
718,9.031446540880504e-06
719,9.044025157232705e-06
720,9.056603773584907e-06
721,9.069182389937108e-06
722,9.08176100628931e-06
723,9.09433962264151e-06
724,9.106918238993712e-06
725,9.119496855345914e-06
726,9.132075471698113e-06
727,9.144654088050315e-06
728,9.157232704402516e-06
729,9.169811320754718e-06
730,9.182389937106919e-06
731,9.19496855345912e-06
732,9.207547169811322e-06
733,9.220125786163523e-06
734,9.232704402515725e-06
735,9.245283018867926e-06
736,9.257861635220128e-06
737,9.270440251572327e-06
738,9.283018867924529e-06
739,9.29559748427673e-06
740,9.308176100628931e-06
741,9.320754716981133e-06
742,9.333333333333334e-06
743,9.345911949685536e-06
744,9.358490566037737e-06
745,9.371069182389939e-06
746,9.38364779874214e-06
747,9.39622641509434e-06
748,9.408805031446541e-06
749,9.421383647798743e-06
750,9.433962264150944e-06
751,9.446540880503145e-06
752,9.459119496855347e-06
753,9.471698113207548e-06
754,9.48427672955975e-06
755,9.496855345911951e-06
756,9.509433962264152e-06
757,9.522012578616354e-06
758,9.534591194968554e-06
759,9.547169811320755e-06
760,9.559748427672956e-06
761,9.572327044025158e-06
762,9.58490566037736e-06
763,9.59748427672956e-06
764,9.610062893081762e-06
765,9.622641509433963e-06
766,9.635220125786165e-06
767,9.647798742138366e-06
768,9.660377358490568e-06
769,9.672955974842767e-06
770,9.685534591194969e-06
771,9.69811320754717e-06
772,9.710691823899372e-06
773,9.723270440251573e-06
774,9.735849056603775e-06
775,9.748427672955976e-06
776,9.761006289308177e-06
777,9.773584905660379e-06
778,9.78616352201258e-06
779,9.79874213836478e-06
780,9.811320754716981e-06
781,9.823899371069183e-06
782,9.836477987421384e-06
783,9.849056603773586e-06
784,9.861635220125787e-06
785,9.874213836477988e-06
786,9.88679245283019e-06
787,9.899371069182391e-06
788,9.911949685534593e-06
789,9.924528301886794e-06
790,9.937106918238994e-06
791,9.949685534591195e-06
792,9.962264150943397e-06
793,9.974842767295598e-06
794,9.9874213836478e-06
795,1e-05
796,9.999999891857031e-06
797,9.999999567428125e-06
798,9.999999026713298e-06
799,9.999998269712572e-06
800,9.99999729642598e-06
801,9.999996106853567e-06
802,9.999994700995381e-06
803,9.999993078851485e-06
804,9.999991240421946e-06
805,9.999989185706846e-06
806,9.999986914706274e-06
807,9.999984427420329e-06
808,9.999981723849116e-06
809,9.999978803992753e-06
810,9.999975667851366e-06
811,9.999972315425092e-06
812,9.999968746714077e-06
813,9.999964961718471e-06
814,9.999960960438441e-06
815,9.999956742874162e-06
816,9.999952309025811e-06
817,9.999947658893585e-06
818,9.99994279247768e-06
819,9.99993770977831e-06
820,9.999932410795697e-06
821,9.999926895530066e-06
822,9.999921163981657e-06
823,9.999915216150716e-06
824,9.999909052037505e-06
825,9.999902671642285e-06
826,9.999896074965336e-06
827,9.999889262006944e-06
828,9.999882232767401e-06
829,9.999874987247012e-06
830,9.99986752544609e-06
831,9.999859847364957e-06
832,9.999851953003947e-06
833,9.999843842363402e-06
834,9.999835515443671e-06
835,9.999826972245115e-06
836,9.999818212768103e-06
837,9.999809237013015e-06
838,9.999800044980238e-06
839,9.99979063667017e-06
840,9.99978101208322e-06
841,9.9997711712198e-06
842,9.999761114080339e-06
843,9.999750840665272e-06
844,9.999740350975042e-06
845,9.999729645010105e-06
846,9.999718722770921e-06
847,9.999707584257964e-06
848,9.999696229471716e-06
849,9.999684658412667e-06
850,9.99967287108132e-06
851,9.999660867478182e-06
852,9.999648647603774e-06
853,9.999636211458626e-06
854,9.999623559043273e-06
855,9.999610690358263e-06
856,9.999597605404155e-06
857,9.999584304181511e-06
858,9.99957078669091e-06
859,9.999557052932933e-06
860,9.999543102908178e-06
861,9.999528936617247e-06
862,9.999514554060752e-06
863,9.999499955239316e-06
864,9.99948514015357e-06
865,9.999470108804156e-06
866,9.999454861191724e-06
867,9.999439397316931e-06
868,9.999423717180448e-06
869,9.999407820782954e-06
870,9.999391708125134e-06
871,9.99937537920769e-06
872,9.999358834031323e-06
873,9.999342072596749e-06
874,9.999325094904698e-06
875,9.999307900955898e-06
876,9.9992904907511e-06
877,9.99927286429105e-06
878,9.999255021576516e-06
879,9.999236962608264e-06
880,9.999218687387081e-06
881,9.999200195913754e-06
882,9.999181488189085e-06
883,9.999162564213883e-06
884,9.999143423988964e-06
885,9.999124067515158e-06
886,9.999104494793303e-06
887,9.999084705824244e-06
888,9.999064700608839e-06
889,9.99904447914795e-06
890,9.999024041442455e-06
891,9.999003387493237e-06
892,9.99898251730119e-06
893,9.998961430867216e-06
894,9.998940128192226e-06
895,9.998918609277144e-06
896,9.998896874122898e-06
897,9.99887492273043e-06
898,9.998852755100693e-06
899,9.99883037123464e-06
900,9.998807771133241e-06
901,9.998784954797474e-06
902,9.998761922228326e-06
903,9.998738673426796e-06
904,9.998715208393884e-06
905,9.998691527130609e-06
906,9.998667629637995e-06
907,9.998643515917077e-06
908,9.998619185968894e-06
909,9.998594639794502e-06
910,9.998569877394961e-06
911,9.998544898771342e-06
912,9.998519703924728e-06
913,9.998494292856206e-06
914,9.998468665566879e-06
915,9.99844282205785e-06
916,9.998416762330242e-06
917,9.998390486385178e-06
918,9.998363994223798e-06
