update,lr
312,3.029126213592233e-06
313,3.038834951456311e-06
314,3.0485436893203886e-06
315,3.058252427184466e-06
316,3.067961165048544e-06
317,3.0776699029126217e-06
318,3.0873786407766995e-06
319,3.0970873786407767e-06
320,3.1067961165048544e-06
321,3.1165048543689326e-06
322,3.12621359223301e-06
323,3.1359223300970876e-06
324,3.1456310679611653e-06
325,3.1553398058252434e-06
326,3.1650485436893207e-06
327,3.1747572815533984e-06
328,3.184466019417476e-06
329,3.1941747572815534e-06
330,3.2038834951456315e-06
331,3.2135922330097092e-06
332,3.2233009708737865e-06
333,3.2330097087378642e-06
334,3.242718446601942e-06
335,3.25242718446602e-06
336,3.2621359223300974e-06
337,3.271844660194175e-06
338,3.2815533980582528e-06
339,3.29126213592233e-06
340,3.300970873786408e-06
341,3.310679611650486e-06
342,3.320388349514563e-06
343,3.330097087378641e-06
344,3.3398058252427186e-06
345,3.3495145631067967e-06
346,3.359223300970874e-06
347,3.3689320388349517e-06
348,3.3786407766990294e-06
349,3.388349514563107e-06
350,3.398058252427185e-06
351,3.4077669902912626e-06
352,3.41747572815534e-06
353,3.4271844660194176e-06
354,3.4368932038834957e-06
355,3.4466019417475734e-06
356,3.4563106796116507e-06
357,3.4660194174757284e-06
358,3.475728155339806e-06
359,3.485436893203884e-06
360,3.4951456310679615e-06
361,3.5048543689320392e-06
362,3.5145631067961165e-06
363,3.5242718446601942e-06
364,3.5339805825242724e-06
365,3.54368932038835e-06
366,3.5533980582524273e-06
367,3.563106796116505e-06
368,3.5728155339805828e-06
369,3.5825242718446605e-06
370,3.592233009708738e-06
371,3.601941747572816e-06
372,3.611650485436893e-06
373,3.621359223300971e-06
374,3.631067961165049e-06
375,3.6407766990291267e-06
376,3.650485436893204e-06
377,3.6601941747572817e-06
378,3.66990291262136e-06
379,3.679611650485437e-06
380,3.689320388349515e-06
381,3.6990291262135925e-06
382,3.70873786407767e-06
383,3.718446601941748e-06
384,3.7281553398058257e-06
385,3.7378640776699034e-06
386,3.7475728155339807e-06
387,3.7572815533980584e-06
388,3.7669902912621365e-06
389,3.776699029126214e-06
390,3.7864077669902915e-06
391,3.796116504854369e-06
392,3.8058252427184465e-06
393,3.815533980582525e-06
394,3.825242718446602e-06
395,3.83495145631068e-06
396,3.844660194174757e-06
397,3.854368932038835e-06
398,3.864077669902913e-06
399,3.8737864077669905e-06
400,3.883495145631068e-06
401,3.893203883495146e-06
402,3.902912621359224e-06
403,3.912621359223301e-06
404,3.922330097087379e-06
405,3.932038834951457e-06
406,3.941747572815534e-06
407,3.951456310679612e-06
